2026-01-26 23:33:35,436 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '2', 'loss:', '0.0056036855211858165')
2026-01-26 23:34:00,719 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '3', 'loss:', '0.0033587939668383994')
2026-01-26 23:34:25,981 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '4', 'loss:', '0.0025597824450200317')
2026-01-26 23:34:51,253 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '5', 'loss:', '0.0021357510524692034')
2026-01-26 23:35:16,752 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '6', 'loss:', '0.0018441261644501323')
2026-01-26 23:35:42,109 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '7', 'loss:', '0.0016563263227325979')
2026-01-26 23:36:07,289 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '8', 'loss:', '0.0015331518117225927')
2026-01-26 23:36:32,422 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '9', 'loss:', '0.0014188428392393117')
2026-01-26 23:36:57,829 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '10', 'loss:', '0.0013420399223791771')
2026-01-26 23:37:22,971 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '11', 'loss:', '0.001284422421745506')
2026-01-26 23:37:48,269 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '12', 'loss:', '0.0012344380186967488')
2026-01-26 23:38:13,645 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '13', 'loss:', '0.0012002205393594962')
2026-01-26 23:38:39,022 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '14', 'loss:', '0.0011580672200600449')
2026-01-26 23:39:04,681 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '15', 'loss:', '0.0011257489845110887')
2026-01-26 23:39:29,799 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '16', 'loss:', '0.00110661663200701')
2026-01-26 23:39:54,986 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '17', 'loss:', '0.0010912476024581277')
2026-01-26 23:40:20,319 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '18', 'loss:', '0.001073406668663747')
2026-01-26 23:40:45,417 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '19', 'loss:', '0.0010588579837153037')
